name,gender
Suneetha,female
Swarna,female
Padma,female
Varalakshmi,female
Praveen,male
Sreedevi,female
Sujatha,female
Ramesh,male
Rangamma,female
srikanth,male
Naresh,male
Ramana,male
Geetha,female
Kalyani,female
Satyanarayana,male
Manjula,female
Parvathi,female
Lokesh,male
Sridevi,female
mohan,male
Saraswathi,female
Varalakshmi,female
Pavan,male
Kalyani,female
mahesh,male
Durga,female
Bhargavi,female
Gopal,male
ramu,male
vijay,male
Vijay,male
Prasad,male
Rakesh,male
Koteswararao,male
Suresh,male
Baburao,male
Mohan,male
Prabhavathi,female
Ramalakshmi,female
prasad,male
Rangamma,female
Lakshmidevi,female
Rajendra,male
Vijaya,female
Subramanyam,male
rajyalakshmi,female
Sreedevi,female
Balaji,male
Srikanth,male
Rakesh,male
Parvathi,female
Prasad,male
Durga,female
Naveen,male
Nirmala,female
nagaraju,male
Ramanamma,female
Hari,male
babu,male
Anand,male
Vijay,male
savitri,female
Parvathi,female
vasu,male
Sowjanya,female
Usha,female
narayana,male
rajendra,male
Lakshmidevi,female
sravani,female
Manjula,female
Nirmala,female
Kalpana,female
Savitri,female
Nagarjuna,male
sujatha,female
Lakshmidevi,female
Srinivasarao,male
koteswararao,male
Venkata,male
kavitha,female
ramu,male
Ramanamma,female
Radha,female
Kavitha,female
Vasu,male
Nagaraju,male
Mahesh,male
bhavani,female
Bhavani,female
hari,male
Srikanth,male
Vijaya,female
Nagarjuna,male
Rangamma,female
Sujatha,female
Swarna,female
Anjali,female
sridevi,female
Bhavani,female
Sirisha,female
Aadilakshmi,female
parvathi,female
Nagamani,female
Rajendra,male
Geetha,female
bhavani,female
Lakshmi,female
Suneetha,female
Kalpana,female
Ganesh,male
bhagyamma,female
Venkata,male
Jayalakshmi,female
Kalyani,female
Narayana,male
Murali,male
Bhagyamma,female
Pavan,male
Ramu,male
Durga,female
venkatesh,male
Ashok,male
Madhavi,female
ramanamma,female
rama,male
Raj,male
Shiva,male
Kavitha,female
sujatha,female
kalpana,female
Sujatha,female
Narayanamma,female
Vasu,male
Anuradha,female
ramalakshmi,female
varalakshmi,female
Kavitha,female
sailaja,female
ashok,male
Aadilakshmi,female
praveen,male
rajyalakshmi,female
Vijay,male
savitri,female
Ravindra,male
Bhagyamma,female
Srinivas,male
Gopal,male
Anjali,female
Sathyanarayan,male
bhagyamma,female
lavanya,female
Usha,female
nagamani,female
anil,male
manjula,female
Kumar,male
Lakshmi,female
Anusha,female
ramana,male
Lalitha,female
Anand,male
Apparao,male
pavan,male
Venkat,male
Jayalakshmi,female
Rajyalakshmi,female
pavan,male
parvathi,female
Anand,male
Sowjanya,female
Vijaya,female
Ashok,male
usha,female
madhavi,female
Sridhar,male
Varalakshmi,female
Koteswararao,male
anusha,female
Savitri,female
srinivas,male
Venkatesh,male
Suresh,male
prabhavathi,female
Sandeep,male
Bhargavi,female
Ramesh,male
varalakshmi,female
Sailaja,female
Nagamani,female
bhargavi,female
lakshmi,female
Srikanth,male
Padma,female
apparao,male
Madhavi,female
Lakshmi,female
Sandeep,male
murali,male
suresh,male
revathi,female
jayalakshmi,female
anuradha,female
Sailaja,female
Mounika,female
sirisha,female
Rakesh,male
raj,male
nirmala,female
rakesh,male
Lavanya,female
Murali,male
gopal,male
mahesh,male
anjali,female
Bhargavi,female
Ganesh,male
rajesh,male
Murali,male
Anil,male
Koteswararao,male
babu,male
Ravindra,male
kalyani,female
Sathyanarayan,male
Sridevi,female
Srinivasarao,male
Babu,male
Sirisha,female
Sowjanya,female
Sravani,female
ravindra,male
Kalpana,female
rangamma,female
Ramesh,male
Raj,male
durga,female
Mohan,male
nirmala,female
Pavan,male
Satyavathi,female
satyanarayana,male
manjula,female
Padmavathi,female
geetha,female
ramana,male
Rama,male
vijailaxmi,female
Ramalakshmi,female
anuradha,female
Srinivas,male
Lavanya,female
Rajyalakshmi,female
sridevi,female
Narayanamma,female
Sathyanarayan,male
krishna,male
Shiva,male
Mounika,female
sowjanya,female
Chandra,male
venkata,male
